Palagianello comune,Palagianello comune.1
,
Palagianello – Veduta,Palagianello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Giuseppe Gasparre (lista civica Insieme per Palagianello) dal 15-5-2023
Territorio,Territorio
Coordinate,40°37′N 16°58′E
Altitudine,130 m s.l.m.
Superficie,"43,86 km²"
Abitanti,7 425[1] (30-11-2025)
Densità,"169,29 ab./km²"
Frazioni,Montedoro
Comuni confinanti,"Castellaneta, Mottola, Palagiano"
Altre informazioni,Altre informazioni
Cod. postale,74018
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073020
Cod. catastale,G251
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 317 GG[3]"
Nome abitanti,palagianellesi
Patrono,Madonna delle Grazie
Giorno festivo,Lunedì dell' Angelo
Cartografia,Cartografia
Palagianello,Palagianello
Palagianello – MappaPosizione del comune di Palagianello all'interno della provincia di Taranto,Palagianello – MappaPosizione del comune di Palagianello all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
