Fragagnano comune,Fragagnano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Guendalina Federico (Comm. straord. prefettizio)
Territorio,Territorio
Coordinate,40°26′N 17°28′E
Altitudine,140 m s.l.m.
Superficie,"22,41 km²"
Abitanti,4 886[1] (30-11-2025)
Densità,"218,03 ab./km²"
Comuni confinanti,"Carosino, Grottaglie, Lizzano, Monteparano, San Marzano di San Giuseppe, Sava, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74022
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073006
Cod. catastale,D754
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 266 GG[3]"
Nome abitanti,fragagnanesi
Patrono,sant'Antonio di Padova - san Giuseppe
Giorno festivo,12-13 agosto / 13-14 marzo
Cartografia,Cartografia
Fragagnano,Fragagnano
Fragagnano – MappaPosizione del comune di Fragagnano all'interno della provincia di Taranto,Fragagnano – MappaPosizione del comune di Fragagnano all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
