Statte comune,Statte comune.1
,
Statte – Veduta,Statte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Fabio Spada (Insieme Cambiamo Statte) dal 10-06-2024
Territorio,Territorio
Coordinate,40°34′N 17°12′E
Altitudine,138 m s.l.m.
Superficie,"67,32 km²"
Abitanti,12 548[1] (30-11-2025)
Densità,"186,39 ab./km²"
Comuni confinanti,"Crispiano, Massafra, Montemesola, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74010
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073029
Cod. catastale,M298
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 159 GG[3]"
Nome abitanti,stattesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Statte,Statte
Statte – MappaPosizione del comune di Statte all'interno della provincia di Taranto,Statte – MappaPosizione del comune di Statte all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
