Massafra comune,Massafra comune.1
,
Massafra – Veduta,Massafra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Giancarla Zaccaro (Coalizione di liste civiche - UdC) dal 12-06-2025
Territorio,Territorio
Coordinate,40°35′N 17°07′E
Altitudine,110 m s.l.m.
Superficie,125 km²
Abitanti,31 773[1] (30-11-2025)
Densità,"254,18 ab./km²"
Frazioni,"Bagni di Chiatona, Marina di Ferrara, Masonghia, Parco di Guerra[2]"
Comuni confinanti,"Crispiano, Martina Franca, Mottola, Palagiano, Statte, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74016
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073015
Cod. catastale,F027
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 123 GG[4]"
Nome abitanti,massafresi
Patrono,"Madonna della Scala, san Michele Arcangelo"
Giorno festivo,"20 febbraio, 29 settembre"
Cartografia,Cartografia
Massafra,Massafra
Massafra – MappaPosizione del comune di Massafra all'interno della provincia di Taranto,Massafra – MappaPosizione del comune di Massafra all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
