Grottaglie comune,Grottaglie comune.1
,
Grottaglie – VedutaCastello Episcopio e Quartiere delle Ceramiche,Grottaglie – VedutaCastello Episcopio e Quartiere delle Ceramiche
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Ciro D'Alò (indipendente di centro-sinistra) dal 22-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,40°32′N 17°26′E
Altitudine,133 m s.l.m.
Superficie,"102,12 km²"
Abitanti,30 006[1] (30-11-2025)
Densità,"293,83 ab./km²"
Frazioni,"Carraro delle Vacche, Mannara, Monte Fellone, Montepizzuto, Paparazio"
Comuni confinanti,"Carosino, Crispiano, Fragagnano, Francavilla Fontana (BR), Martina Franca, Monteiasi, Montemesola, San Marzano di San Giuseppe, Taranto, Villa Castelli (BR)"
Altre informazioni,Altre informazioni
Cod. postale,74023
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073008
Cod. catastale,E205
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 263 GG[3]"
Nome abitanti,grottagliesi
Patrono,"san Ciro, san Francesco de Geronimo, Maria SS. della Mutata"
Giorno festivo,"31 gennaio, prima domenica di settembre"
Cartografia,Cartografia
Grottaglie,Grottaglie
Grottaglie – MappaPosizione del comune di Grottaglie all'interno della provincia di Taranto,Grottaglie – MappaPosizione del comune di Grottaglie all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
