San Giorgio Ionico comune,San Giorgio Ionico comune.1
,
San Giorgio Ionico – VedutaParticolari della città,San Giorgio Ionico – VedutaParticolari della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Cosimo Fabbiano (Partito Democratico e liste civiche) dal 20-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°27′N 17°22′E
Altitudine,75 m s.l.m.
Superficie,"23,56 km²"
Abitanti,13 859[1] (30-11-2025)
Densità,"588,24 ab./km²"
Comuni confinanti,"Carosino, Faggiano, Monteiasi, Monteparano, Roccaforzata, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74027
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073024
Cod. catastale,H882
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 258 GG[3]"
Nome abitanti,sangiorgesi
Patrono,san Giorgio
Giorno festivo,22 e 23 aprile
Cartografia,Cartografia
San Giorgio Ionico,San Giorgio Ionico
San Giorgio Ionico – MappaPosizione del comune di San Giorgio Ionico all'interno della provincia di Taranto,San Giorgio Ionico – MappaPosizione del comune di San Giorgio Ionico all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
