Sava comune,Sava comune.1
,
Sava – VedutaPiazza san Giovanni centro del paese,Sava – VedutaPiazza san Giovanni centro del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Gaetano Pichierri (FdI) dal 12-6-2022
Territorio,Territorio
Coordinate,40°24′01″N 17°34′00″E
Altitudine,107 m s.l.m.
Superficie,"44,57 km²"
Abitanti,15 059[1] (30-11-2025)
Densità,"337,87 ab./km²"
Frazioni,"Contrada Pasàno, Contrada Trullo Lungo, Contrada Archignano-Torre-Papòi"
Comuni confinanti,"Fragagnano, Francavilla Fontana (BR), Lizzano, Manduria, Maruggio, San Marzano di San Giuseppe, Torricella"
Altre informazioni,Altre informazioni
Cod. postale,74028
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073026
Cod. catastale,I467
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 164 GG[3]"
Nome abitanti,savesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Sava,Sava
Sava – MappaPosizione del comune di Sava all'interno della provincia di Taranto,Sava – MappaPosizione del comune di Sava all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
