Palagiano comune,Palagiano comune.1
,
Palagiano – Veduta,Palagiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Domenico Pio Lasigna (lista civica) dal 10-7-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,40°34′45.34″N 17°02′12.25″E
Altitudine,40 m s.l.m.
Superficie,"69,97 km²"
Abitanti,15 708[1] (30-11-2025)
Densità,"224,5 ab./km²"
Frazioni,"Chiatona, Conca d'Oro, Pino di Lenne"
Comuni confinanti,"Castellaneta, Palagianello, Mottola, Massafra"
Altre informazioni,Altre informazioni
Cod. postale,74019
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073021
Cod. catastale,G252
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 162 GG[3]"
Nome abitanti,Palagianesi
Patrono,san Rocco
Giorno festivo,"16 agosto e successivi sabato, domenica e lunedì"
Cartografia,Cartografia
Palagiano,Palagiano
Palagiano – MappaPosizione del comune di Palagiano all'interno della provincia di Taranto,Palagiano – MappaPosizione del comune di Palagiano all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
