Provincia di Taranto provincia,Provincia di Taranto provincia.1
,
"Provincia di Taranto – VedutaPalazzo del Governo, sede della Provincia.","Provincia di Taranto – VedutaPalazzo del Governo, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Amministrazione,Amministrazione
Capoluogo,Taranto
Presidente,Gianfranco Palmisano (PD)
Data di istituzione,1923
Territorio,Territorio
Coordinate del capoluogo,40°28′N 17°14′E
Superficie,"2 467,35 km²"
Abitanti,548 202[1] (30-11-2025)
Densità,"222,18 ab./km²"
Comuni,29 comuni
Province confinanti,"Bari, Brindisi, Lecce, Matera"
Altre informazioni,Altre informazioni
Cod. postale,"74121-74122-74123, 74010-74028"
Prefisso,"099, 080 solo per Martina Franca"
Fuso orario,UTC+1
ISO 3166-2,IT-TA
Codice ISTAT,073
Targa,TA
PIL,(nominale) 11 491 mln €[2](2021)
PIL procapite,(nominale) 20 523 €[2](2021)
Cartografia,Cartografia
Provincia di Taranto – Localizzazione,Provincia di Taranto – Localizzazione
Provincia di Taranto – MappaPosizione della provincia di Taranto in Puglia.,Provincia di Taranto – MappaPosizione della provincia di Taranto in Puglia.
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
