Monteiasi comune,Monteiasi comune.1
,
Monteiasi – VedutaVia Roma,Monteiasi – VedutaVia Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Cosimo Ciura (lista civica Monteiasi protagonista) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°30′N 17°23′E
Altitudine,47 m s.l.m.
Superficie,"9,81 km²"
Abitanti,5 191[1] (30-11-2025)
Densità,"529,15 ab./km²"
Comuni confinanti,"Carosino, Grottaglie, San Giorgio Ionico, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74020
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073016
Cod. catastale,F531
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 182 GG[3]"
Nome abitanti,"monteiasino (in dialetto locale ""muntianese"" o ""muntianise"")"
Patrono,santissimo Crocifisso
Giorno festivo,14 settembre
Cartografia,Cartografia
Monteiasi,Monteiasi
Monteiasi – MappaPosizione del comune di Monteiasi all'interno della provincia di Taranto,Monteiasi – MappaPosizione del comune di Monteiasi all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
