Pulsano comune,Pulsano comune.1
,
Pulsano – VedutaIl Castello De Falconibus in Via Costantinopoli,Pulsano – VedutaIl Castello De Falconibus in Via Costantinopoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Pietro D'Alfonso (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°23′03″N 17°21′17″E
Altitudine,37 m s.l.m.
Superficie,"17,27 km²"
Abitanti,11 148[1] (30-11-2025)
Densità,"645,51 ab./km²"
Frazioni,Marina di Pulsano
Comuni confinanti,"Faggiano, Leporano, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74026
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073022
Cod. catastale,H090
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 138 GG[3]"
Nome abitanti,pulsanesi
Patrono,san Trifone e Madonna dei Martiri
Giorno festivo,"11 febbraio, 7 e 8 settembre"
Cartografia,Cartografia
Pulsano,Pulsano
Pulsano – MappaPosizione del comune di Pulsano all'interno della provincia di Taranto,Pulsano – MappaPosizione del comune di Pulsano all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
