Avetrana comune,Avetrana comune.1
,
Avetrana – VedutaVista aerea notturna del centro abitato,Avetrana – VedutaVista aerea notturna del centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Antonio Iazzi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°21′14″N 17°44′09″E
Altitudine,62 m s.l.m.
Superficie,"73,23 km²"
Abitanti,6 116[1] (30-11-2025)
Densità,"83,52 ab./km²"
Frazioni,Urmo Belsito
Comuni confinanti,"Erchie (BR), Manduria, Nardò (LE), Porto Cesareo (LE), Salice Salentino (LE), San Pancrazio Salentino (BR)"
Altre informazioni,Altre informazioni
Cod. postale,74020
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073001
Cod. catastale,A514
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 147 GG[3]"
Nome abitanti,avetranesi
Patrono,san Biagio e sant'Antonio di Padova compatrono
Giorno festivo,28-29 aprile e 12-13 giugno
Cartografia,Cartografia
Avetrana,Avetrana
Avetrana – MappaPosizione del comune di Avetrana all'interno della provincia di Taranto,Avetrana – MappaPosizione del comune di Avetrana all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
