Mottola comune,Mottola comune.1
,
Mottola – VedutaChiesa di Santa Maria Assunta,Mottola – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Giovanni Piero Barulli (M5S) dal 25-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,40°38′N 17°02′E
Altitudine,387 m s.l.m.
Superficie,"213,96 km²"
Abitanti,15 117[1] (30-11-2025)
Densità,"70,65 ab./km²"
Frazioni,San Basilio
Comuni confinanti,"Alberobello (BA), Castellaneta, Gioia del Colle (BA), Martina Franca, Massafra, Noci (BA), Palagianello, Palagiano"
Altre informazioni,Altre informazioni
Cod. postale,74017
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073019
Cod. catastale,F784
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 715 GG[3]"
Nome abitanti,mottolesi
Patrono,San Tommaso Becket
Giorno festivo,29 dicembre
PIL procapite,(nominale) 14 543 €[4]
Soprannome,La spia dello Ionio
Cartografia,Cartografia
Mottola,Mottola
Mottola – MappaPosizione del comune di Mottola all'interno della provincia di Taranto,Mottola – MappaPosizione del comune di Mottola all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
