Ginosa comune,Ginosa comune.1
,
Ginosa – VedutaCorso Vittorio Emanuele II,Ginosa – VedutaCorso Vittorio Emanuele II
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Vito Parisi (M5S) dal 20-6-2016 (2º mandato dal 20-10-2021)
Territorio,Territorio
Coordinate,40°30′N 16°45′E
Altitudine,240 m s.l.m.
Superficie,"188,49 km²"
Abitanti,21 720[1] (30-11-2025)
Densità,"115,23 ab./km²"
Frazioni,"Marina di Ginosa, Difesa, Pescarella, Cignano, Palombaro, Mezzana, Spiano, La Vicina, Mulinello, Bandiera, Santa Maria Dattoli, Girifalco, Casone Rita, Casone Dogana, Cavese, Castelluccio, Fiumicello, Follerate, Gaudella, San Felice, La Corvellara, La Zuppatura, Lemite, Mandorleto Rita, Lama di Pozzo, Lama di Vita, Lama Callara, Lago Spaso, Lago Cupo, Lago Spino, Lago Lungo, Lucignano, Roccavetere, Ciaurro, Terzo di Mezzo, Rossetti, Magliari, Cipolluzzo, Orsanerse, Montedoro, Marinella, Murge, Pantano, Spiano, Stornara, Tufarello"
Comuni confinanti,"Castellaneta, Laterza, Matera (MT), Montescaglioso (MT), Bernalda (MT)"
Altre informazioni,Altre informazioni
Cod. postale,74013
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073007
Cod. catastale,E036
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 500 GG[3]"
Nome abitanti,Ginosini
Patrono,Maria SS.ma del Rosario SS. Medici Cosma e Damiano (compatroni)
Giorno festivo,"1ª domenica di ottobre (Madonna del Rosario), sabato antecedente (SS. Medici)"
Cartografia,Cartografia
Ginosa,Ginosa
Ginosa – MappaPosizione del comune di Ginosa all'interno della provincia di Taranto,Ginosa – MappaPosizione del comune di Ginosa all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
