Crispiano comune,Crispiano comune.1
,
Crispiano – VedutaFoto storica del centro cittadino,Crispiano – VedutaFoto storica del centro cittadino
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Luca Lopomo (Movimento 5 Stelle) dal 10-6-2018 (2º mandato dal 30-5-2023)
Territorio,Territorio
Coordinate,40°36′N 17°14′E
Altitudine,232 m s.l.m.
Superficie,"112,3 km²"
Abitanti,12 825[1] (30-11-2025)
Densità,"114,2 ab./km²"
Frazioni,San Simone
Comuni confinanti,"Grottaglie, Martina Franca, Massafra, Montemesola, Statte"
Altre informazioni,Altre informazioni
Cod. postale,74012
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073004
Cod. catastale,D171
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 386 GG[3]"
Nome abitanti,crispianesi
Patrono,santa Maria della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Crispiano,Crispiano
Crispiano – MappaPosizione del comune di Crispiano all'interno della provincia di Taranto,Crispiano – MappaPosizione del comune di Crispiano all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
