Mercato Saraceno comune,Mercato Saraceno comune.1
,
Mercato Saraceno – Veduta,Mercato Saraceno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Monica Rossi (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°57′N 12°12′E
Altitudine,150 m s.l.m.
Superficie,"99,33 km²"
Abitanti,6 839[1] (30-11-2025)
Densità,"68,85 ab./km²"
Frazioni,"Bacciolino, Bora, Cella, Ciola, Colonnata, Falcino, Linaro, Montecastello, Monte Iottone, Monte Sasso, Montesorbo, Musella, Paderno, Piavola, San Damiano, San Romano, Serra, Taibo, Tornano, Valleripa"
Comuni confinanti,"Bagno di Romagna, Cesena, Novafeltria (RN), Roncofreddo, Sarsina, Sogliano al Rubicone, Talamello (RN)"
Altre informazioni,Altre informazioni
Cod. postale,47025
Prefisso,0547
Fuso orario,UTC+1
Codice ISTAT,040020
Cod. catastale,F139
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 324 GG[3]"
Nome abitanti,mercatesi
Patrono,santa Maria Novella
Giorno festivo,8 settembre
Cartografia,Cartografia
Mercato Saraceno,Mercato Saraceno
Mercato Saraceno – MappaPosizione del comune di Mercato Saraceno nella provincia di Forlì-Cesena,Mercato Saraceno – MappaPosizione del comune di Mercato Saraceno nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
