Borghi comune,Borghi comune.1
,
Borghi – VedutaPanorama,Borghi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Silverio Zabberoni (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°01′56.03″N 12°21′22.25″E
Altitudine,264 m s.l.m.
Superficie,"30,23 km²"
Abitanti,2 916[1] (30-11-2025)
Densità,"96,46 ab./km²"
Frazioni,"Castellaro, Gorolo, Lo Stradone, Masrola, San Giovanni in Galilea, San Martino in Converseto, Tribola"
Comuni confinanti,"Longiano, Poggio Torriana (RN), Roncofreddo, Santarcangelo di Romagna (RN), Sogliano al Rubicone"
Altre informazioni,Altre informazioni
Cod. postale,47030
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,040004
Cod. catastale,B001
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 497 GG[3]"
Nome abitanti,borghigiani
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Borghi,Borghi
Borghi – MappaPosizione del comune di Borghi nella provincia di Forlì-Cesena,Borghi – MappaPosizione del comune di Borghi nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
