Verghereto comune,Verghereto comune.1
,
Verghereto – Veduta,Verghereto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Enrico Salvi (centro-destra) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,43°48′24.44″N 12°03′03.79″E
Altitudine,812 m s.l.m.
Superficie,"117,9 km²"
Abitanti,1 721[1] (30-11-2025)
Densità,"14,6 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Badia Tedalda (AR), Bagno di Romagna, Casteldelci (RN), Chiusi della Verna (AR), Pieve Santo Stefano (AR), Sant'Agata Feltria (RN), Sarsina"
Altre informazioni,Altre informazioni
Cod. postale,47028
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040050
Cod. catastale,L764
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 153 GG[3]"
Nome abitanti,vergheretini
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Verghereto,Verghereto
Verghereto – MappaPosizione del comune di Verghereto nella provincia di Forlì-Cesena,Verghereto – MappaPosizione del comune di Verghereto nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
