Cesenatico comune,Cesenatico comune.1
,
Cesenatico – VedutaIl porto canale,Cesenatico – VedutaIl porto canale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Matteo Gozzoli (PD) dal 20-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1798
Territorio,Territorio
Coordinate,44°12′04.28″N 12°24′02.48″E
Altitudine,2 m s.l.m.
Superficie,"45,16 km²"
Abitanti,26 074[1] (30-11-2025)
Densità,"577,37 ab./km²"
Frazioni,"Bagnarola, Borella, Cannucceto, Madonnina - Santa Teresa, Sala, Valverde, Villalta, Villamarina, Zadina[2]"
Comuni confinanti,"Cervia (RA), Cesena, Gambettola, Gatteo"
Altre informazioni,Altre informazioni
Cod. postale,47042
Prefisso,0547
Fuso orario,UTC+1
Codice ISTAT,040008
Cod. catastale,C574
Targa,FC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 316 GG[4]"
Nome abitanti,cesenaticensi
Patrono,san Giacomo
Giorno festivo,25 luglio
Soprannome,Porto di Cesena[5][6][7]
Cartografia,Cartografia
Cesenatico,Cesenatico
Cesenatico – MappaPosizione del comune di Cesenatico nella provincia di Forlì-Cesena,Cesenatico – MappaPosizione del comune di Cesenatico nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
