Santa Sofia comune,Santa Sofia comune.1
,
Santa Sofia – VedutaPanorama di Santa Sofia,Santa Sofia – VedutaPanorama di Santa Sofia
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Ilaria Marianini (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°57′N 11°54′E
Altitudine,257 m s.l.m.
Superficie,"148,56[1] km²"
Abitanti,4 036[2] (30-11-2025)
Densità,"27,17 ab./km²"
Frazioni,"Berleta, Biserno, Bleda, Burraia, Cabelli, Calci, Campigna, Camposonaldo, Capaccio-Settegalli, Collina di Pondo, Corniolo, Isola, Lago, San Martino, Spinello[3]"
Comuni confinanti,"Bagno di Romagna, Civitella di Romagna, Galeata, Pratovecchio Stia (AR), Premilcuore, San Godenzo (FI), Sarsina"
Altre informazioni,Altre informazioni
Cod. postale,47018
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040043
Cod. catastale,I310
Targa,FC
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 484 GG[5]"
Nome abitanti,santasofiesi
Patrono,santa Lucia da Siracusa
Giorno festivo,13 dicembre
Cartografia,Cartografia
Santa Sofia,Santa Sofia
Santa Sofia – MappaPosizione del comune di Santa Sofia nella provincia di Forlì-Cesena,Santa Sofia – MappaPosizione del comune di Santa Sofia nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
