San Mauro Pascoli comune,San Mauro Pascoli comune.1
,
San Mauro Pascoli – VedutaMunicipio di San Mauro Pascoli,San Mauro Pascoli – VedutaMunicipio di San Mauro Pascoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Moris Guidi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°06′N 12°25′E
Altitudine,21 m s.l.m.
Superficie,"17,29 km²"
Abitanti,12 452[1] (30-11-2025)
Densità,"720,19 ab./km²"
Frazioni,San Mauro Mare[2]
Comuni confinanti,"Bellaria-Igea Marina (RN), Rimini (RN), Santarcangelo di Romagna (RN), Savignano sul Rubicone"
Altre informazioni,Altre informazioni
Cod. postale,47030
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,040041
Cod. catastale,I027
Targa,FC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 341 GG[4]"
Nome abitanti,sammauresi
Patrono,san Crispino
Giorno festivo,25 ottobre
Cartografia,Cartografia
San Mauro Pascoli,San Mauro Pascoli
San Mauro Pascoli – MappaPosizione del comune di San Mauro Pascoli nella provincia di Forlì-Cesena,San Mauro Pascoli – MappaPosizione del comune di San Mauro Pascoli nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
