Bagno di Romagna comune,Bagno di Romagna comune.1
,
Bagno di Romagna – VedutaIl centro cittadino di Bagno di Romagna visto dal castello di Corzano,Bagno di Romagna – VedutaIl centro cittadino di Bagno di Romagna visto dal castello di Corzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Enrico Spighi (centro-sinistra ) dal 10-6-2024
Territorio,Territorio
Coordinate,43°50′N 11°58′E
Altitudine,462 m s.l.m.
Superficie,"233,52 km²"
Abitanti,5 580[1] (30-11-2025)
Densità,"23,9 ab./km²"
Frazioni,"Acquapartita, Bagno di Romagna, Careste, Casanova dell'Alpe, Crocedevoli, Crocesanta, Larciano, Montegranelli, Monteguidi, Paganico, Pietrapazza, Poggio alla Lastra, Ridracoli, Rio Petroso, Rio Salso, Saiaccio, San Piero in Bagno (sede comunale), San Silvestro, Selvapiana, Strabatenza, Valgianna, Vessa"
Comuni confinanti,"Bibbiena (AR), Chiusi della Verna (AR), Mercato Saraceno, Poppi (AR), Pratovecchio Stia (AR), Santa Sofia, Sarsina, Verghereto"
Altre informazioni,Altre informazioni
Cod. postale,47021
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040001
Cod. catastale,A565
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 789 GG[3]"
Nome abitanti,bagnesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bagno di Romagna,Bagno di Romagna
Bagno di Romagna – MappaPosizione del comune di Bagno di Romagna nella provincia di Forlì-Cesena,Bagno di Romagna – MappaPosizione del comune di Bagno di Romagna nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
