Civitella di Romagna comune,Civitella di Romagna comune.1
,
Civitella di Romagna – Veduta,Civitella di Romagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Claudio Milandri (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°00′N 11°56′E
Altitudine,219 m s.l.m.
Superficie,"117,93 km²"
Abitanti,3 619[1] (30-11-2025)
Densità,"30,69 ab./km²"
Frazioni,"Aquiliano, Castagnolo, Cigno, Civorio, Collina, Cusercoli, Giaggiolo, Nespoli, Petrella, Pian di Spino, San Paolo, Seggio, Seguno, Valpondo, Voltre"
Comuni confinanti,"Cesena, Galeata, Meldola, Predappio, Santa Sofia, Sarsina"
Altre informazioni,Altre informazioni
Cod. postale,47012
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040009
Cod. catastale,C777
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 424 GG[3]"
Nome abitanti,civitellesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Civitella di Romagna,Civitella di Romagna
Civitella di Romagna – MappaPosizione del comune di Civitella di Romagna nella provincia di Forlì-Cesena,Civitella di Romagna – MappaPosizione del comune di Civitella di Romagna nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
