Gatteo comune,Gatteo comune.1
,
Gatteo – Veduta,Gatteo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Roberto Pari (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,44°08′13.56″N 12°24′15.36″E
Altitudine,20 e 0 m s.l.m.
Superficie,"14,14 km²"
Abitanti,9 468[1] (30-11-2025)
Densità,"669,59 ab./km²"
Frazioni,"Gatteo a Mare, Sant'Angelo, Fiumicino[2]"
Comuni confinanti,"Cesenatico, Gambettola, Longiano, Savignano sul Rubicone"
Altre informazioni,Altre informazioni
Cod. postale,47043
Prefisso,0541 (0547 per la frazione Gatteo a Mare)
Fuso orario,UTC+1
Codice ISTAT,040016
Cod. catastale,D935
Targa,FC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 175 GG[4]"
Nome abitanti,gatteesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Gatteo,Gatteo
Gatteo – MappaPosizione del comune di Gatteo nella provincia di Forlì-Cesena,Gatteo – MappaPosizione del comune di Gatteo nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
