Dovadola comune,Dovadola comune.1
,
Dovadola – Vedutavia Tartagni Marvelli,Dovadola – Vedutavia Tartagni Marvelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Francesco Tassinari (lista civica di centro-destra Noi dovadolesi) dal 12-6-2017
Territorio,Territorio
Coordinate,44°07′N 11°53′E
Altitudine,140 m s.l.m.
Superficie,"38,97 km²"
Abitanti,1 586[1] (30-11-2025)
Densità,"40,7 ab./km²"
Comuni confinanti,"Castrocaro Terme e Terra del Sole, Modigliana, Predappio, Rocca San Casciano"
Altre informazioni,Altre informazioni
Cod. postale,47013
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040011
Cod. catastale,D357
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 331 GG[3]"
Nome abitanti,dovadolesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Dovadola,Dovadola
Dovadola – MappaPosizione del comune di Dovadola nella provincia di Forlì-Cesena,Dovadola – MappaPosizione del comune di Dovadola nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
