Sogliano al Rubicone comune,Sogliano al Rubicone comune.1
,
Sogliano al Rubicone – Veduta,Sogliano al Rubicone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Tania Bocchini (lista civica Sogliano di tutti) dal 4-10-2021
Territorio,Territorio
Coordinate,44°00′N 12°18′E
Altitudine,362 m s.l.m.
Superficie,"93,43 km²"
Abitanti,3 143[1] (30-11-2025)
Densità,"33,64 ab./km²"
Frazioni,"Bagnolo, Ginestreto, Massamanente, Montegelli, Montepetra, Montetiffi, Pietra dell'Uso, Rontagnano, San Paolo all'Uso, Santa Maria Riopetra, Savignano di Rigo, Strigara, Vignola, Barbotto, Ponte Uso"
Comuni confinanti,"Borghi, Mercato Saraceno, Novafeltria (RN), Poggio Torriana (RN), Roncofreddo, Sant'Agata Feltria (RN), Sarsina, Talamello (RN)"
Altre informazioni,Altre informazioni
Cod. postale,47030
Prefisso,0541 - 0547
Fuso orario,UTC+1
Codice ISTAT,040046
Cod. catastale,I779
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 642 GG[3]"
Nome abitanti,soglianesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Sogliano al Rubicone,Sogliano al Rubicone
Sogliano al Rubicone – MappaPosizione del comune di Sogliano al Rubicone nella provincia di Forlì-Cesena,Sogliano al Rubicone – MappaPosizione del comune di Sogliano al Rubicone nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
