Bertinoro comune,Bertinoro comune.1
,
Bertinoro – Veduta,Bertinoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Filippo Scogli (PD) dal 26-05-2025
Territorio,Territorio
Coordinate,44°09′N 12°08′E
Altitudine,254 m s.l.m.
Superficie,"57,25 km²"
Abitanti,11 190[1] (30-11-2025)
Densità,"195,46 ab./km²"
Frazioni,"Bracciano, Capocolle, Casticciano, Collinello, Fratta Terme, Dorgagnano, Il Lago, Ospedaletto, Panighina, Polenta, San Pietro in Guardiano, Santa Croce, Santa Maria Nuova Spallicci, Valmorre"
Comuni confinanti,"Cesena, Forlì, Forlimpopoli, Meldola, Ravenna (RA)"
Altre informazioni,Altre informazioni
Cod. postale,47032
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040003
Cod. catastale,A809
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,bertinoresi
Patrono,santa Caterina
Giorno festivo,25 novembre
Cartografia,Cartografia
Bertinoro,Bertinoro
Bertinoro – MappaPosizione del comune di Bertinoro nella provincia di Forlì-Cesena,Bertinoro – MappaPosizione del comune di Bertinoro nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
