Provincia di Forlì-Cesena provincia,Provincia di Forlì-Cesena provincia.1
,
"Provincia di Forlì-Cesena – VedutaPalazzo dei Signori della Missione, sede della Provincia.","Provincia di Forlì-Cesena – VedutaPalazzo dei Signori della Missione, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Amministrazione,Amministrazione
Capoluogo,Forlì  Cesena[1]
Presidente,Enzo Lattuca (PD) dal 19-12-2021
Data di istituzione,1859 (come provincia di Forlì)
Territorio,Territorio
Coordinate del capoluogo,44°13′21″N 12°02′27″E
Superficie,"2 378,4 km²"
Abitanti,394 187[2] (31-10-2025)
Densità,"165,74 ab./km²"
Comuni,30 comuni
Province confinanti,"Ravenna, Rimini, Arezzo, Firenze"
Altre informazioni,Altre informazioni
Cod. postale,"47121 - 47122 Forlì, 47521 - 47522 Cesena, 47010 - 47043 (ad eccezione del 47023) altri comuni"
Prefisso,"0541, 0543, 0546, 0547"
Fuso orario,UTC+1
ISO 3166-2,IT-FC
Codice ISTAT,040
Targa,FC (FO fino al 1999)
Cartografia,Cartografia
Provincia di Forlì-Cesena – Localizzazione,Provincia di Forlì-Cesena – Localizzazione
Provincia di Forlì-Cesena – MappaPosizione della provincia di Forlì-Cesena all'interno dell'Emilia-Romagna.,Provincia di Forlì-Cesena – MappaPosizione della provincia di Forlì-Cesena all'interno dell'Emilia-Romagna.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
