Forlimpopoli comune,Forlimpopoli comune.1
,
Forlimpopoli – Veduta,Forlimpopoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Milena Garavini (lista civica di centro-sinistra) dal 27-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°11′N 12°08′E
Altitudine,30 m s.l.m.
Superficie,"24,46 km²"
Abitanti,13 154[1] (30-11-2025)
Densità,"537,78 ab./km²"
Frazioni,"Sant'Andrea in Rossano, San Pietro ai Prati, San Leonardo in Schiova e Selbagnone[2]"
Comuni confinanti,"Bertinoro, Forlì"
Altre informazioni,Altre informazioni
Cod. postale,47034
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040013
Cod. catastale,D705
Targa,FC
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 082 GG[4]"
Nome abitanti,forlimpopolesi
Patrono,san Rufillo
Giorno festivo,16 maggio
Cartografia,Cartografia
Forlimpopoli,Forlimpopoli
Forlimpopoli – MappaPosizione del comune di Forlimpopoli nella provincia di Forlì-Cesena,Forlimpopoli – MappaPosizione del comune di Forlimpopoli nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
