Cesena comune,Cesena comune.1
,
Cesena – VedutaVista del centro storico,Cesena – VedutaVista del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Enzo Lattuca (PD) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°08′N 12°14′E
Altitudine,44 m s.l.m.
Superficie,"249,47 km²"
Abitanti,95 639[1] (30-11-2025)
Densità,"383,37 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Bertinoro, Cervia (RA), Cesenatico, Civitella di Romagna, Gambettola, Longiano, Meldola, Mercato Saraceno, Montiano, Ravenna (RA), Roncofreddo, Sarsina"
Altre informazioni,Altre informazioni
Cod. postale,"47521, 47522"
Prefisso,0547
Fuso orario,UTC+1
Codice ISTAT,040007
Cod. catastale,C573
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 130 GG[3]"
Nome abitanti,cesenati
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Soprannome,Città dei tre Papi
Cartografia,Cartografia
Cesena,Cesena
Cesena – MappaPosizione del comune di Cesena nella provincia di Forlì-Cesena,Cesena – MappaPosizione del comune di Cesena nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
