Rocca San Casciano comune,Rocca San Casciano comune.1
,
Rocca San Casciano – Veduta,Rocca San Casciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Forlì-Cesena
Amministrazione,Amministrazione
Sindaco,Marco Valenti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°04′N 11°51′E
Altitudine,210 m s.l.m.
Superficie,"50,56 km²"
Abitanti,1 810[1] (30-11-2025)
Densità,"35,8 ab./km²"
Frazioni,"Casanova, Meleto, Campomaggio"
Comuni confinanti,"Dovadola, Galeata, Modigliana, Portico e San Benedetto, Predappio, Premilcuore, Tredozio"
Altre informazioni,Altre informazioni
Cod. postale,47017
Prefisso,0543
Fuso orario,UTC+1
Codice ISTAT,040036
Cod. catastale,H437
Targa,FC
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 412 GG[3]"
Nome abitanti,rocchigiani
Patrono,san Cassiano di Imola
Giorno festivo,13 agosto
Cartografia,Cartografia
Rocca San Casciano,Rocca San Casciano
Rocca San Casciano – MappaPosizione del comune di Rocca San Casciano nella provincia di Forlì-Cesena,Rocca San Casciano – MappaPosizione del comune di Rocca San Casciano nella provincia di Forlì-Cesena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
