Rio comune,Rio comune.1
,
Rio – Veduta,Rio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Capoluogo,Rio Marina
Sindaco,Marco Corsini (lista civica RioUniti) dal 15-5-2023
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate del capoluogo,42°48′48.4″N 10°25′02.5″E
Superficie,"36,52 km²"
Abitanti,3 430[1] (30-11-2025)
Densità,"93,92 ab./km²"
Frazioni,"Bagnaia, Cavo, Nisportino, Nisporto, Rio Marina, Rio nell'Elba[2][3]"
Comuni confinanti,"Porto Azzurro, Portoferraio"
Altre informazioni,Altre informazioni
Cod. postale,57038
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049021
Cod. catastale,M391
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Nome abitanti,"riese, riesi"
Patrono,Santa Barbara e San Giacomo il Maggiore
Giorno festivo,"4 dicembre, 25 luglio"
Cartografia,Cartografia
Rio Marina,Rio Marina
Rio – MappaPosizione del comune di Rio nella provincia di Livorno,Rio – MappaPosizione del comune di Rio nella provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
