Provincia di Livorno provincia,Provincia di Livorno provincia.1
,
"Provincia di Livorno – VedutaPalazzo Granducale, sede della Provincia.","Provincia di Livorno – VedutaPalazzo Granducale, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Livorno
Presidente,Sandra Scarpellini (PD) dal 26-11-2022
Territorio,Territorio
Coordinate del capoluogo,43°33′N 10°19′E
Superficie,"1 213,71 km²"
Abitanti,325 160[1] (31-10-2025)
Densità,"267,91 ab./km²"
Comuni,19 comuni
Province confinanti,"Grosseto, Pisa"
Altre informazioni,Altre informazioni
Cod. postale,"57121-57128 Livorno, 57014-57039 provincia"
Prefisso,"0565, 0586"
Fuso orario,UTC+1
ISO 3166-2,IT-LI
Codice ISTAT,049
Targa,LI
Cartografia,Cartografia
Provincia di Livorno – Localizzazione,Provincia di Livorno – Localizzazione
Provincia di Livorno – MappaPosizione della provincia di Livorno all'interno della Toscana.,Provincia di Livorno – MappaPosizione della provincia di Livorno all'interno della Toscana.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
