Marciana comune,Marciana comune.1
,
Marciana – VedutaVeduta di Marciana,Marciana – VedutaVeduta di Marciana
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Simone Barbi (lista civica Per creare futuro) dal 27-5-2019
Territorio,Territorio
Coordinate,42°47′N 10°10′E
Altitudine,375 m s.l.m.
Superficie,"45,45 km²"
Abitanti,2 050[1] (30-11-2025)
Densità,"45,1 ab./km²"
Frazioni,"Chiessi, Poggio, Pomonte, Procchio[2], Sant'Andrea"
Comuni confinanti,"Campo nell'Elba, Marciana Marina, Portoferraio"
Altre informazioni,Altre informazioni
Cod. postale,57030
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049010
Cod. catastale,E930
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona D, 1 546 GG[4]"
Nome abitanti,"marcianese, marcianesi[5]"
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Marciana,Marciana
Marciana – MappaPosizione del comune di Marciana all'interno della provincia di Livorno,Marciana – MappaPosizione del comune di Marciana all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
