Porto Azzurro comune,Porto Azzurro comune.1
,
Porto Azzurro – VedutaFontana di Porto Azzurro nel maggio 2007,Porto Azzurro – VedutaFontana di Porto Azzurro nel maggio 2007
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Maurizio Papi (lista civica di destra) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,42°46′N 10°24′E
Altitudine,3 m s.l.m.
Superficie,"13,33 km²"
Abitanti,3 673[1] (30-11-2025)
Densità,"275,54 ab./km²"
Frazioni,"Barbarossa, Monserrato, Reale, Mola"
Comuni confinanti,"Capoliveri, Portoferraio, Rio"
Altre informazioni,Altre informazioni
Cod. postale,57036
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049013
Cod. catastale,E680
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 023 GG[3]"
Nome abitanti,"portazzurrini[4], longonesi[4], vaporini"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Porto Azzurro,Porto Azzurro
Porto Azzurro – MappaPosizione del comune di Porto Azzurro all'interno della provincia di Livorno,Porto Azzurro – MappaPosizione del comune di Porto Azzurro all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
