San Vincenzo comune,San Vincenzo comune.1
,
San Vincenzo – Veduta,San Vincenzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Paolo Riccucci (lista civica Officina San Vincenzo) dal 4-10-2021
Data di istituzione,3 giugno 1949
Territorio,Territorio
Coordinate,43°06′00.48″N 10°32′25.24″E
Altitudine,5 m s.l.m.
Superficie,"33,2 km²"
Abitanti,6 350[1] (30-11-2025)
Densità,"191,27 ab./km²"
Frazioni,San Carlo
Comuni confinanti,"Campiglia Marittima, Castagneto Carducci, Piombino, Suvereto"
Altre informazioni,Altre informazioni
Cod. postale,57027
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049018
Cod. catastale,I390
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 051 GG[3]"
Nome abitanti,"sanvincenzino, sanvincenzini[4]"
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
San Vincenzo,San Vincenzo
San Vincenzo – MappaPosizione del comune di San Vincenzo all'interno della provincia di Livorno,San Vincenzo – MappaPosizione del comune di San Vincenzo all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
