Rosignano Marittimo comune,Rosignano Marittimo comune.1
,
Rosignano Marittimo – Veduta,Rosignano Marittimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,"Claudio Marabotti (M5S, Rosignano nel Cuore) dal 24-6-2024"
Territorio,Territorio
Coordinate,43°24′N 10°28′E
Altitudine,147 m s.l.m.
Superficie,"120,82 km²"
Abitanti,30 096[1] (30-11-2025)
Densità,"249,1 ab./km²"
Frazioni,"Castelnuovo della Misericordia, Castiglioncello, Gabbro, La Mazzanta, Nibbiaia, Rosignano Solvay, Vada.[2]"
Comuni confinanti,"Castellina Marittima (PI), Cecina, Collesalvetti, Livorno, Orciano Pisano (PI), Santa Luce (PI)"
Altre informazioni,Altre informazioni
Cod. postale,57016
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,049017
Cod. catastale,H570
Targa,LI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 640 GG[4]"
Nome abitanti,"rosignanese, rosignanesi;[5] rosignanino, rosignanini (locale)[5]"
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Rosignano Marittimo,Rosignano Marittimo
Rosignano Marittimo – MappaPosizione del comune di Rosignano Marittimo all'interno della provincia di Livorno,Rosignano Marittimo – MappaPosizione del comune di Rosignano Marittimo all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
