Capraia Isola comune,Capraia Isola comune.1
,
Capraia Isola – Veduta,Capraia Isola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Luca Mascaro (Commissario prefettizio) dal 06-05-2025
Data di istituzione,18-03-1861
Territorio,Territorio
Coordinate,43°02′55.32″N 9°50′25.08″E
Altitudine,52 m s.l.m.
Superficie,"19,33 km²"
Abitanti,349[1] (30-11-2025)
Densità,"18,05 ab./km²"
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,57032
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,049005
Cod. catastale,B685
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 260 GG[3]"
Nome abitanti,capraiesi[4]
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Capraia Isola,Capraia Isola
Capraia Isola – MappaPosizione del comune di Capraia Isola all'interno della provincia di Livorno,Capraia Isola – MappaPosizione del comune di Capraia Isola all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
