Campiglia Marittima comune,Campiglia Marittima comune.1
,
Campiglia Marittima – Veduta,Campiglia Marittima – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Alberta Ticciati (Impegno Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,43°04′N 10°37′E
Altitudine,231[1] m s.l.m.
Superficie,"83,28 km²"
Abitanti,12 238[2] (30-11-2025)
Densità,"146,95 ab./km²"
Frazioni,"Cafaggio, Venturina Terme[3]"
Sottodivisioni ulteriori,"Banditelle, Lumiere[3]"
Comuni confinanti,"Piombino, San Vincenzo, Suvereto"
Altre informazioni,Altre informazioni
Cod. postale,57021
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049002
Cod. catastale,B509
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona D, 1 865 GG[5]"
Nome abitanti,"campigliese, campigliesi[6]"
Patrono,san Fiorenzo di Populonia
Giorno festivo,15 maggio
Cartografia,Cartografia
Campiglia Marittima,Campiglia Marittima
Campiglia Marittima – MappaPosizione del comune di Campiglia Marittima all'interno della provincia di Livorno,Campiglia Marittima – MappaPosizione del comune di Campiglia Marittima all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
