Castagneto Carducci comune,Castagneto Carducci comune.1
,
Castagneto Carducci – VedutaPanorama,Castagneto Carducci – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Sandra Scarpellini (PD) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°10′N 10°36′E
Altitudine,194 m s.l.m.
Superficie,"142,33 km²"
Abitanti,8 644[1] (30-11-2025)
Densità,"60,73 ab./km²"
Frazioni,"Bolgheri, Donoratico, Marina di Castagneto Carducci"
Comuni confinanti,"Bibbona, Monteverdi Marittimo (PI), San Vincenzo, Sassetta, Suvereto"
Altre informazioni,Altre informazioni
Cod. postale,57022
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049006
Cod. catastale,C044
Targa,LI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 432 GG[3]"
Nome abitanti,"castagnetano, castagnetani[4]"
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Castagneto Carducci,Castagneto Carducci
Castagneto Carducci – MappaPosizione del comune di Castagneto Carducci all'interno della provincia di Livorno,Castagneto Carducci – MappaPosizione del comune di Castagneto Carducci all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
