Campo nell'Elba comune,Campo nell'Elba comune.1
,
Campo nell'Elba – VedutaLa spiaggia di Fetovaia,Campo nell'Elba – VedutaLa spiaggia di Fetovaia
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Davide Montauti (lista civica di centro-sinistra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°45′N 10°14′E
Altitudine,2 m s.l.m.
Superficie,"55,79 km²"
Abitanti,4 633[1] (30-11-2025)
Densità,"83,04 ab./km²"
Frazioni,"La Pila, Marina di Campo (sede comunale), Pianosa Isola, San Piero in Campo, Sant'Ilario, Seccheto[2][3]"
Comuni confinanti,"Capoliveri, Marciana, Portoferraio"
Altre informazioni,Altre informazioni
Cod. postale,57034
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049003
Cod. catastale,B553
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona C, 1 057 GG[5]"
Nome abitanti,"campese, campesi[6]"
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Campo nell'Elba,Campo nell'Elba
Campo nell'Elba – MappaPosizione del comune di Campo nell'Elba all'interno della provincia di Livorno,Campo nell'Elba – MappaPosizione del comune di Campo nell'Elba all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
