Marciana Marina comune,Marciana Marina comune.1
,
Marciana Marina – Veduta,Marciana Marina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Gabriella Allori (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,42°48′N 10°12′E
Altitudine,3 m s.l.m.
Superficie,"5,86 km²"
Abitanti,1 864[1] (30-11-2025)
Densità,"318,09 ab./km²"
Comuni confinanti,Marciana
Altre informazioni,Altre informazioni
Cod. postale,57033
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,049011
Cod. catastale,E931
Targa,LI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 989 GG[3]"
Nome abitanti,marinesi
Patrono,santa Chiara
Giorno festivo,11 agosto
Cartografia,Cartografia
Marciana Marina,Marciana Marina
Marciana Marina – MappaPosizione del comune di Marciana Marina all'interno della provincia di Livorno,Marciana Marina – MappaPosizione del comune di Marciana Marina all'interno della provincia di Livorno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
