Maserada sul Piave comune,Maserada sul Piave comune.1
,
Maserada sul Piave – VedutaIl Piave,Maserada sul Piave – VedutaIl Piave
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Lamberto Marini (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°45′N 12°19′E
Altitudine,31 m s.l.m.
Superficie,"28,77 km²"
Abitanti,9 182[1] (30-11-2025)
Densità,"319,15 ab./km²"
Frazioni,"Candelù, Varago Località: Salettuol, Saltore[2]"
Comuni confinanti,"Breda di Piave, Carbonera, Cimadolmo, Ormelle, Ponte di Piave, Spresiano"
Altre informazioni,Altre informazioni
Cod. postale,31052
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026040
Cod. catastale,F012
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 376 GG[4]"
Nome abitanti,maseradesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Maserada sul Piave,Maserada sul Piave
Maserada sul Piave – MappaIl territorio comunale nella provincia di Treviso.,Maserada sul Piave – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
