Cavaso del Tomba comune,Cavaso del Tomba comune.1
,
Cavaso del Tomba – VedutaPanorama di Obledo e Caniezza dal tempio canoviano di Possagno,Cavaso del Tomba – VedutaPanorama di Obledo e Caniezza dal tempio canoviano di Possagno
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Gino Rugolo (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°52′N 11°54′E
Altitudine,248 m s.l.m.
Superficie,"18,97 km²"
Abitanti,2 941[1] (30-11-2025)
Densità,"155,03 ab./km²"
Frazioni,"Caniezza (sede comunale), Capovilla, Castelcies, Costalunga, Granigo, Obledo, Pieve, Vettorazzi, Virago[2]"
Comuni confinanti,"Castelcucco, Monfumo, Pederobba, Possagno, Setteville (BL)"
Altre informazioni,Altre informazioni
Cod. postale,31034
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026014
Cod. catastale,C384
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 776 GG[4]"
Nome abitanti,cavasotti o cavasiensi
Patrono,Madonna della Salute
Giorno festivo,21 novembre
Cartografia,Cartografia
Cavaso del Tomba,Cavaso del Tomba
Cavaso del Tomba – MappaIl territorio comunale nella provincia di Treviso.,Cavaso del Tomba – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
