Castello di Godego comune,Castello di Godego comune.1
,
Castello di Godego – Veduta,Castello di Godego – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Diego Parisotto (lista civica Progetto Godego) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°42′N 11°53′E
Altitudine,51 m s.l.m.
Superficie,"18,13 km²"
Abitanti,6 917[1] (30-11-2025)
Densità,"381,52 ab./km²"
Frazioni,"nessuna Località: Alberone, Avenali, Ca' Leoncino, Casoname, Chioggia, Madonna, Motte, Quartiere Muson, i Prai, San Pietro, Vegre"
Comuni confinanti,"Castelfranco Veneto, Loria, Riese Pio X, San Martino di Lupari (PD)"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026013
Cod. catastale,C190
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 443 GG[3]"
Nome abitanti,godigesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Castello di Godego,Castello di Godego
Castello di Godego – MappaIl territorio comunale nella provincia di Treviso.,Castello di Godego – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
