Castelcucco comune,Castelcucco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Paolo Mares (lista civica di centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°50′N 11°53′E
Altitudine,189 m s.l.m.
Superficie,"8,79 km²"
Abitanti,2 317[1] (30-11-2025)
Densità,"263,59 ab./km²"
Comuni confinanti,"Asolo, Cavaso del Tomba, Monfumo, Pieve del Grappa, Possagno"
Altre informazioni,Altre informazioni
Cod. postale,31030
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026011
Cod. catastale,C073
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 660 GG[3]"
Nome abitanti,castelcucchesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Castelcucco,Castelcucco
Castelcucco – MappaIl territorio comunale nella provincia di Treviso.,Castelcucco – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
