Fonte comune,Fonte comune.1
,
Fonte – VedutaLa pieve di San Pietro Apostolo,Fonte – VedutaLa pieve di San Pietro Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Matthew Sommadossi (FI-lista civica ViviAmo Fonte) dal 09-6-2024
Territorio,Territorio
Coordinate,45°47′N 11°52′E
Altitudine,107 m s.l.m.
Superficie,"14,6 km²"
Abitanti,6 066[1] (30-11-2025)
Densità,"415,48 ab./km²"
Frazioni,"Fonte Alto, Onè di Fonte (sede comunale)"
Comuni confinanti,"Asolo, Pieve del Grappa, Riese Pio X, San Zenone degli Ezzelini"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026029
Cod. catastale,D680
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 439 GG[3]"
Nome abitanti,fontesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Fonte,Fonte
Fonte – MappaIl territorio comunale nella provincia di Treviso.,Fonte – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
