Ponte di Piave comune,Ponte di Piave comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Sergio Lorenzon (vicesindaco f.f.) (lista civica di centro-destra Vivi Ponte) dal 17-1-2026
Territorio,Territorio
Coordinate,45°43′N 12°28′E
Altitudine,11 m s.l.m.
Superficie,"32,44 km²"
Abitanti,8 332[1] (30-11-2025)
Densità,"256,84 ab./km²"
Frazioni,"Busco, Levada, Negrisia, San Nicolò"
Comuni confinanti,"Breda di Piave, Chiarano, Maserada sul Piave, Oderzo, Ormelle, Salgareda, San Biagio di Callalta"
Altre informazioni,Altre informazioni
Cod. postale,31047
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026058
Cod. catastale,G846
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,pontepiavensi
Patrono,san Tommaso di Canterbury
Giorno festivo,29 dicembre
Cartografia,Cartografia
Ponte di Piave,Ponte di Piave
Ponte di Piave – MappaIl territorio comunale nella provincia di Treviso.,Ponte di Piave – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
