Godega di Sant'Urbano comune,Godega di Sant'Urbano comune.1
,
Godega di Sant'Urbano – VedutaL'ingresso del paese con il campanile sullo sfondo,Godega di Sant'Urbano – VedutaL'ingresso del paese con il campanile sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Paola Guzzo (Lega Nord) dal 12-6-2017
Territorio,Territorio
Coordinate,45°55′42.92″N 12°23′48.73″E
Altitudine,52 m s.l.m.
Superficie,"24,34 km²"
Abitanti,6 008[1] (30-11-2025)
Densità,"246,84 ab./km²"
Frazioni,"Bibano, Pianzano"
Comuni confinanti,"Codognè, Colle Umberto, Cordignano, Gaiarine, Orsago, San Fior"
Altre informazioni,Altre informazioni
Cod. postale,31010
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026033
Cod. catastale,E071
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 449 GG[3]"
Nome abitanti,godeghesi
Cartografia,Cartografia
Godega di Sant'Urbano,Godega di Sant'Urbano
Godega di Sant'Urbano – MappaIl territorio comunale nella provincia di Treviso.,Godega di Sant'Urbano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
