Treviso comune,Treviso comune.1
,
Treviso – VedutaVeduta di Piazza dei Signori,Treviso – VedutaVeduta di Piazza dei Signori
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mario Conte (LSP) dal 13-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°40′19.99″N 12°14′31.99″E
Altitudine,15 m s.l.m.
Superficie,"55,58 km²"
Abitanti,86 101[1] (30-11-2025)
Densità,"1 549,14 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Carbonera, Paese, Ponzano Veneto, Preganziol, Quinto di Treviso, Silea, Villorba, Zero Branco, Casier"
Altre informazioni,Altre informazioni
Cod. postale,31100
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026086
Cod. catastale,L407
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 378 GG[3]"
Nome abitanti,"trevigiani, trevisani"
Patrono,san Liberale
Giorno festivo,27 aprile
Soprannome,Urbs picta (Città dipinta) Capoluogo di Marca
Cartografia,Cartografia
Treviso,Treviso
Treviso – MappaIl territorio comunale nella provincia di Treviso.,Treviso – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
