Pederobba comune,Pederobba comune.1
,
Pederobba – VedutaIl territorio comunale visto dall'alto,Pederobba – VedutaIl territorio comunale visto dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Marco Turato (Lega Nord - liste civiche) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°52′26″N 11°56′51″E
Altitudine,174 m s.l.m.
Superficie,"27,32 km²"
Abitanti,7 262[1] (30-11-2025)
Densità,"265,81 ab./km²"
Frazioni,"Covolo, Onigo (sede comunale), Levada, Pederobba Località: Curogna, Levada"
Comuni confinanti,"Cavaso del Tomba, Cornuda, Crocetta del Montello, Monfumo, Setteville (BL), Valdobbiadene, Vidor"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026056
Cod. catastale,G408
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 638 GG[3]"
Nome abitanti,pederobbesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pederobba,Pederobba
Pederobba – MappaIl territorio comunale nella provincia di Treviso,Pederobba – MappaIl territorio comunale nella provincia di Treviso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
