Ponzano Veneto comune,Ponzano Veneto comune.1
,
Ponzano Veneto – VedutaVilla Minelli,Ponzano Veneto – VedutaVilla Minelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Antonello Baseggio (Lega per Salvini Premier) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°43′25.86″N 12°11′39.18″E
Altitudine,27 m s.l.m.
Superficie,"22,27 km²"
Abitanti,13 019[1] (30-11-2025)
Densità,"584,6 ab./km²"
Frazioni,"Merlengo, Paderno (sede comunale), Ponzano"
Comuni confinanti,"Paese, Povegliano, Treviso, Villorba, Volpago del Montello"
Altre informazioni,Altre informazioni
Cod. postale,31050
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026059
Cod. catastale,G875
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 408 GG[3]"
Nome abitanti,ponzanesi[4]
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Ponzano Veneto,Ponzano Veneto
Ponzano Veneto – MappaIl territorio comunale nella provincia di Treviso.,Ponzano Veneto – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
