Montebelluna comune,Montebelluna comune.1
,
Montebelluna – VedutaPanorama da Santa Maria in colle,Montebelluna – VedutaPanorama da Santa Maria in colle
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Adalberto Bordin (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°46′31″N 12°02′20″E
Altitudine,109 m s.l.m.
Superficie,"49,01 km²"
Abitanti,31 155[1] (30-11-2025)
Densità,"635,69 ab./km²"
Frazioni,"Biadene, Busta, Caonada, Contea, Guarda, La Pieve (sede comunale), Mercato Vecchio, Pederiva, Posmon, San Gaetano, Sant'Andrea"
Comuni confinanti,"Altivole, Caerano di San Marco, Cornuda, Crocetta del Montello, Trevignano, Vedelago, Volpago del Montello"
Altre informazioni,Altre informazioni
Cod. postale,31044
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026046
Cod. catastale,F443
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,montebellunesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Montebelluna,Montebelluna
Montebelluna – MappaIl territorio comunale nella provincia di Treviso.,Montebelluna – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
