Motta di Livenza comune,Motta di Livenza comune.1
,
Motta di Livenza – VedutaPiazza Luzzatti,Motta di Livenza – VedutaPiazza Luzzatti
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Alessandro Righi (Lega Nord) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°46′47″N 12°36′31″E
Altitudine,7 m s.l.m.
Superficie,"37,78 km²"
Abitanti,10 539[1] (30-11-2025)
Densità,"278,96 ab./km²"
Frazioni,"Lorenzaga, Malintrada, San Giovanni, Villanova Località: Albano, Saccon di Lorenzaga[2]"
Comuni confinanti,"Annone Veneto (VE), Cessalto, Chiarano, Gorgo al Monticano, Meduna di Livenza, San Stino di Livenza (VE)"
Altre informazioni,Altre informazioni
Cod. postale,31045
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026049
Cod. catastale,F770
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 347 GG[4]"
Nome abitanti,mottensi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Motta di Livenza,Motta di Livenza
Motta di Livenza – MappaIl territorio comunale nella provincia di Treviso.,Motta di Livenza – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
