Oderzo comune,Oderzo comune.1
,
Oderzo – Veduta,Oderzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Maria Scardellato (LSP - centro-destra) dal 20-6-2016
Territorio,Territorio
Coordinate,45°46′51″N 12°29′34″E
Altitudine,13 m s.l.m.
Superficie,"42,35 km²"
Abitanti,20 337[1] (30-11-2025)
Densità,"480,21 ab./km²"
Frazioni,"Camino, Colfrancui, Faè, Fratta, Piavon, Rustignè Località: Magera, San Vincenzo[2]"
Comuni confinanti,"Chiarano, Fontanelle, Gorgo al Monticano, Mansuè, Ormelle, Ponte di Piave"
Altre informazioni,Altre informazioni
Cod. postale,31046
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026051
Cod. catastale,F999
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 358 GG[4]"
Nome abitanti,opitergini
Patrono,san Tiziano
Giorno festivo,16 gennaio
Cartografia,Cartografia
Oderzo,Oderzo
Oderzo – MappaIl territorio comunale nella provincia di Treviso.,Oderzo – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
