Cappella Maggiore comune,Cappella Maggiore comune.1
,
Cappella Maggiore – VedutaIl campanile della chiesa parrocchiale,Cappella Maggiore – VedutaIl campanile della chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Mariarosa Barazza (lista civica di centro-sinistra Mariarosa Barazza sindaco) dal 13-6-2022
Territorio,Territorio
Coordinate,45°58′N 12°22′E
Altitudine,115 m s.l.m.
Superficie,"11,09 km²"
Abitanti,4 657[1] (30-11-2025)
Densità,"419,93 ab./km²"
Frazioni,Anzano
Comuni confinanti,"Colle Umberto, Cordignano, Fregona, Sarmede, Vittorio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,31012
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026007
Cod. catastale,B678
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 601 GG[3]"
Nome abitanti,cappellesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Cappella Maggiore,Cappella Maggiore
Cappella Maggiore – MappaIl territorio comunale nella provincia di Treviso.,Cappella Maggiore – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
