Zero Branco comune,Zero Branco comune.1
,
"Zero Branco – VedutaZero Branco, Via Martiri della Libertà, direzione Piazza Umberto I. Sullo sfondo si nota la palazzina municipale.","Zero Branco – VedutaZero Branco, Via Martiri della Libertà, direzione Piazza Umberto I. Sullo sfondo si nota la palazzina municipale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Capoluogo,Treviso
Sindaco,Luca Durighetto (lista civica di centro-sinistra Luca Durighetto Sindaco) dal 27-5-2019 (2º mandato dal 10-6-2024)
Lingue ufficiali,Italiano
Territorio,Territorio
Coordinate del capoluogo,45°36′N 12°10′E
Altitudine,18 m s.l.m.
Superficie,"26,06 km²"
Abitanti,11 698[1] (30-11-2025)
Densità,"448,89 ab./km²"
Frazioni,"Sant'Alberto, Scandolara"
Comuni confinanti,"Mogliano Veneto, Morgano, Piombino Dese (PD), Preganziol, Quinto di Treviso, Scorzè (VE), Trebaseleghe (PD), Treviso"
Altre informazioni,Altre informazioni
Cod. postale,31059
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026095
Cod. catastale,M171
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 411 GG[3]"
Nome abitanti,zerotini
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Treviso,Treviso
Zero Branco – MappaIl territorio comunale nella provincia di Treviso.,Zero Branco – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
