Pieve di Soligo comune,Pieve di Soligo comune.1
,
Pieve di Soligo – VedutaPanorama di Pieve di Soligo (da San Gallo),Pieve di Soligo – VedutaPanorama di Pieve di Soligo (da San Gallo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Stefano Soldan (PD - lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°53′N 12°10′E
Altitudine,132 m s.l.m.
Superficie,"19,02 km²"
Abitanti,11 458[1] (30-11-2025)
Densità,"602,42 ab./km²"
Frazioni,"Barbisano, Solighetto"
Comuni confinanti,"Cison di Valmarino, Farra di Soligo, Follina, Refrontolo, Sernaglia della Battaglia, Susegana"
Altre informazioni,Altre informazioni
Cod. postale,31053
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026057
Cod. catastale,G645
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 624 GG[3]"
Nome abitanti,pievigini
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Pieve di Soligo,Pieve di Soligo
Pieve di Soligo – MappaIl territorio cittadino nella provincia di Treviso.,Pieve di Soligo – MappaIl territorio cittadino nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
