Possagno comune,Possagno comune.1
,
Possagno – VedutaIl Tempio Canoviano,Possagno – VedutaIl Tempio Canoviano
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Valerio Favero (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°51′N 11°53′E
Altitudine,276 m s.l.m.
Superficie,"12,11 km²"
Abitanti,2 287[1] (30-11-2025)
Densità,"188,85 ab./km²"
Comuni confinanti,"Castelcucco, Cavaso del Tomba, Pieve del Grappa, Setteville (BL)"
Altre informazioni,Altre informazioni
Cod. postale,31054
Prefisso,0423
Fuso orario,UTC+1
Codice ISTAT,026061
Cod. catastale,G933
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 820 GG[3]"
Nome abitanti,possagnotti o possagnesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Possagno,Possagno
Possagno – MappaIl territorio comunale nella provincia di Treviso.,Possagno – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
