Colle Umberto comune,Colle Umberto comune.1
,
Colle Umberto – VedutaI simboli della vecchia Colle: campanile e Castello Lucheschi,Colle Umberto – VedutaI simboli della vecchia Colle: campanile e Castello Lucheschi
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Sebastiano Coletti (lista civica di centro-sinistra Progetto comune) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°57′N 12°21′E
Altitudine,145 m s.l.m.
Superficie,"13,58 km²"
Abitanti,4 972[1] (30-11-2025)
Densità,"366,13 ab./km²"
Frazioni,San Martino
Comuni confinanti,"Cappella Maggiore, Conegliano, Cordignano, Godega di Sant'Urbano, San Fior, Vittorio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,31014
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026020
Cod. catastale,C848
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 659 GG[3]"
Nome abitanti,collumbertesi o columbertesi
Patrono,san Tommaso
Giorno festivo,3 luglio
Cartografia,Cartografia
Colle Umberto,Colle Umberto
Colle Umberto – MappaIl territorio comunale nella provincia di Treviso.,Colle Umberto – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
