Silea comune,Silea comune.1
,
Silea – VedutaChiesa di San Michele Arcangelo,Silea – VedutaChiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Ylenia Canzian (vicesindaca f.f.) (lista civica di centro-sinistra SileaOggi) dal 2-2-2026
Territorio,Territorio
Coordinate,45°39′17″N 12°17′48″E
Altitudine,7 m s.l.m.
Superficie,"18,95 km²"
Abitanti,10 490[1] (30-11-2025)
Densità,"553,56 ab./km²"
Frazioni,"Cendon, Sant'Elena Località: Canton, Franceniga, Lanzago[2]"
Comuni confinanti,"Carbonera, Casale sul Sile, Casier, Roncade, San Biagio di Callalta, Treviso"
Altre informazioni,Altre informazioni
Cod. postale,31057
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026081
Cod. catastale,F116
Targa,TV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 367 GG[4]"
Nome abitanti,silcesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Silea,Silea
Silea – MappaIl territorio comunale nella provincia di Treviso.,Silea – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
