Tarzo comune,Tarzo comune.1
,
Tarzo – VedutaPanorama di Tarzo,Tarzo – VedutaPanorama di Tarzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Gianangelo Bof (LSP) dal 13-6-2022
Territorio,Territorio
Coordinate,45°58′21″N 12°14′02″E
Altitudine,267 m s.l.m.
Superficie,"23,91 km²"
Abitanti,4 121[1] (30-11-2025)
Densità,"172,35 ab./km²"
Frazioni,"Arfanta, Colmaggiore, Corbanese, Fratta, Nogarolo, Resera"
Comuni confinanti,"Cison di Valmarino, Refrontolo, Revine Lago, San Pietro di Feletto, Vittorio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,31020
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026084
Cod. catastale,L058
Targa,TV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 828 GG[3]"
Nome abitanti,tarzesi
Patrono,Purificazione di Maria (Candelora)
Giorno festivo,2 febbraio
Cartografia,Cartografia
Tarzo,Tarzo
Tarzo – MappaIl territorio comunale nella provincia di Treviso.,Tarzo – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
