Portobuffolé comune,Portobuffolé comune.1
,
Portobuffolé – VedutaPorta Friuli e il ponte sul Livenza,Portobuffolé – VedutaPorta Friuli e il ponte sul Livenza
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Andrea Sebastiano Susana (Lega Nord-liste civiche) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°51′13″N 12°32′18″E
Altitudine,10 m s.l.m.
Superficie,"5,08 km²"
Abitanti,749[1] (30-11-2025)
Densità,"147,44 ab./km²"
Frazioni,"Faè, Ronche, Settimo[2]"
Comuni confinanti,"Brugnera (PN), Gaiarine, Mansuè, Prata di Pordenone (PN)"
Altre informazioni,Altre informazioni
Cod. postale,31040
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026060
Cod. catastale,G909
Targa,TV
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 382 GG[4]"
Nome abitanti,portobuffolesi o portuensi
Patrono,san Marco evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Portobuffolé,Portobuffolé
Portobuffolé – MappaIl territorio comunale nella provincia di Treviso.,Portobuffolé – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
