Morgano comune,Morgano comune.1
,
"Morgano – VedutaBarchessa di Villa Badoer, detta ""La Rotonda""","Morgano – VedutaBarchessa di Villa Badoer, detta ""La Rotonda"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Nicola Lazzaro (lista civica Per Morgano) dal 10-6-2024
Territorio,Territorio
Coordinate,45°37′59.52″N 12°05′12.12″E
Altitudine,23 m s.l.m.
Superficie,"11,76 km²"
Abitanti,4 519[1] (30-11-2025)
Densità,"384,27 ab./km²"
Frazioni,"Morgano, Badoere (sede comunale)"
Comuni confinanti,"Istrana, Paese, Piombino Dese (PD), Quinto di Treviso, Zero Branco"
Altre informazioni,Altre informazioni
Cod. postale,31050
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026047
Cod. catastale,F725
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 396 GG[3]"
Nome abitanti,morganesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Morgano,Morgano
Morgano – MappaIl territorio comunale nella provincia di Treviso.,Morgano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
